ID,Movie Name,Rating,Genre,Votes
150,Kaun Pravin Tambe?,8.4,"Biography, Drama, Sport",10816
151,Aruvi,8.4,Drama,13484
152,King of the Doormen,8.4,"Comedy, Drama",13033
153,Top Gun: Maverick,8.3,"Action, Drama",596202
154,Heat,8.3,"Action, Crime, Drama",678617
155,Inglourious Basterds,8.3,"Adventure, Drama, War",1495487
156,Scarface,8.3,"Crime, Drama",868142
157,Eternal Sunshine of the Spotless Mind,8.3,"Drama, Romance, Sci-Fi",1033105
158,Requiem for a Dream,8.3,Drama,863118
159,American Beauty,8.3,Drama,1175013
160,Good Will Hunting,8.3,"Drama, Romance",1006200
161,Full Metal Jacket,8.3,"Drama, War",760206
162,2001: A Space Odyssey,8.3,"Adventure, Sci-Fi",686929
163,A Clockwork Orange,8.3,"Crime, Sci-Fi",849296
164,Toy Story,8.3,"Animation, Adventure, Comedy",1020749
165,Once Upon a Time in America,8.3,"Crime, Drama",361066
166,Braveheart,8.3,"Biography, Drama, History",1057222
167,The Hunt,8.3,Drama,342379
168,Reservoir Dogs,8.3,"Crime, Thriller",1044849
169,Star Wars: Episode VI - Return of the Jedi,8.3,"Action, Adventure, Fantasy",1079686
170,Singin' in the Rain,8.3,"Comedy, Musical, Romance",249463
171,Up,8.3,"Animation, Adventure, Comedy",1072145
172,Incendies,8.3,"Drama, Mystery",184681
173,Amélie,8.3,"Comedy, Romance",770642
174,Princess Mononoke,8.3,"Animation, Action, Adventure",407792
175,Lawrence of Arabia,8.3,"Adventure, Biography, Drama",301728
176,Toy Story 3,8.3,"Animation, Adventure, Comedy",856973
177,North by Northwest,8.3,"Action, Adventure, Mystery",335129
178,To Kill a Mockingbird,8.3,"Crime, Drama",322670
179,Vertigo,8.3,"Mystery, Romance, Thriller",411498
180,Citizen Kane,8.3,"Drama, Mystery",451347
181,Metropolis,8.3,"Drama, Sci-Fi",178533
182,The Sting,8.3,"Comedy, Crime, Drama",269965
183,The Apartment,8.3,"Comedy, Drama, Romance",186966
184,Ikiru,8.3,Drama,82071
185,M,8.3,"Crime, Mystery, Thriller",161941
186,A Separation,8.3,Drama,249841
187,Judgment at Nuremberg,8.3,"Drama, War",80150
188,Kantara,8.3,"Action, Adventure, Drama",95828
189,Like Stars on Earth,8.3,"Drama, Family",198362
190,Double Indemnity,8.3,"Crime, Drama, Film-Noir",161069
191,Bicycle Thieves,8.3,Drama,167873
192,Dangal,8.3,"Action, Biography, Drama",197790
193,Vikram,8.3,"Action, Crime, Thriller",64083
194,Raatchasan,8.3,"Action, Crime, Drama",47092
195,K.G.F: Chapter 2,8.3,"Action, Crime, Drama",139935
196,The Kid,8.3,"Comedy, Drama, Family",129552
197,Ayla: The Daughter of War,8.3,"Biography, Drama, History",41677
198,A Brighter Summer Day,8.3,"Crime, Drama, Romance",11554
199,Shershaah,8.3,"Action, Biography, Drama",124966
200,To Live,8.3,"Drama, War",19383
201,Maanaadu,8.3,"Action, Adventure, Sci-Fi",23914
202,Satya,8.3,"Action, Crime, Drama",15785
203,Super Deluxe,8.3,"Comedy, Crime, Drama",16172
204,The Cranes Are Flying,8.3,"Drama, Romance, War",18652
205,Red Beard,8.3,Drama,20101
206,Chhichhore,8.3,"Comedy, Drama, Romance",57998
207,Ordet,8.3,Drama,16632
208,Jana Gana Mana,8.3,"Crime, Drama, Thriller",14711
209,Children of Paradise,8.3,"Drama, Romance",20539
210,The Young and the Damned,8.3,"Crime, Drama",21211
211,Samurai Rebellion,8.3,Drama,13366
212,Drishyam,8.3,"Crime, Drama, Thriller",42667
213,Aparajito,8.3,Drama,15141
214,Cat City,8.3,"Animation, Adventure, Comedy",10365
215,Agent Sai Srinivasa Athreya,8.3,"Comedy, Crime, Mystery",15136
216,Sairat,8.3,"Drama, Romance",13791
217,Bangalore Days,8.3,"Comedy, Drama, Romance",21314
218,The Diamond Arm,8.3,"Adventure, Comedy, Crime",15455
219,Anniyan,8.3,"Action, Crime, Drama",19717
220,Khosla Ka Ghosla!,8.3,"Comedy, Crime, Drama",24450
221,Premam,8.3,"Comedy, Drama, Romance",21799
222,"Kidnapping, Caucasian Style",8.3,"Adventure, Comedy, Drama",12830
223,Lucia,8.3,"Drama, Sci-Fi, Thriller",12685
224,Jaane Bhi Do Yaaro,8.3,"Comedy, Crime, Drama",14393
225,Soodhu Kavvum,8.3,"Comedy, Crime, Thriller",10843
226,Baasha,8.3,"Action, Crime, Drama",10868
227,Chupke Chupke,8.3,"Comedy, Drama, Romance",12881
228,From the Village to the City,8.3,"Adventure, Comedy, Crime",11364
229,Guardians of the Galaxy Vol. 3,8.2,"Action, Adventure, Comedy",170311
230,Spider-Man: No Way Home,8.2,"Action, Adventure, Fantasy",802644
231,Jurassic Park,8.2,"Action, Adventure, Sci-Fi",1016279
232,Indiana Jones and the Last Crusade,8.2,"Action, Adventure",773288
233,The Wolf of Wall Street,8.2,"Biography, Comedy, Crime",1467644
234,Taxi Driver,8.2,"Crime, Drama",866500
235,Shutter Island,8.2,"Mystery, Thriller",1364752
236,1917,8.2,"Action, Drama, War",623386
237,No Country for Old Men,8.2,"Crime, Drama, Thriller",1003767
238,The Thing,8.2,"Horror, Mystery, Sci-Fi",439767
239,The Truman Show,8.2,"Comedy, Drama",1120022
240,Casino,8.2,"Crime, Drama",536007
241,Green Book,8.2,"Biography, Comedy, Drama",521153
242,Howl's Moving Castle,8.2,"Animation, Adventure, Family",413434
243,Batman Begins,8.2,"Action, Crime, Drama",1506388
244,Kill Bill: Vol. 1,8.2,"Action, Crime, Drama",1142827
245,Snatch,8.2,"Comedy, Crime",875553
246,A Beautiful Mind,8.2,"Biography, Drama",951840
247,The Father,8.2,"Drama, Mystery",169858
248,Unforgiven,8.2,"Drama, Western",421612
249,Finding Nemo,8.2,"Animation, Adventure, Comedy",1068742
250,There Will Be Blood,8.2,Drama,603537
